A Dalit boy in UP, hands folded, begging for mercy, as an upper-caste mob pours acid on him for touching a temple wall.
A Muslim meat vendor in Ayodhya, lying in a pool of blood, his stall looted, as saffron-clad men chant victory slogans.
A woman in a Lucknow police station, crying for justice, while officers laugh and sip chai, scrolling past her complaint.
A small town in Guwahati, where a student leader is hacked to death for opposing land encroachment.
A bridge in Silchar, where a man is lynched over suspicions of cow smuggling.
A tea estate in Dibrugarh, where workers are attacked for forming a trade union.
A flood relief camp in Barpeta, where refugees are killed in a police firing.
A remote village in Nagaland, where civilians are massacred in a botched military operation.
A marketplace in Imphal, where a journalist is gunned down by unknown assailants.
A checkpoint in Agartala, where a human rights activist disappears after being taken in by authorities.
A village in Arunachal Pradesh, where tribal elders order the execution of a woman accused of sorcery.
A protest site in Shillong, where police open fire on demonstrators demanding tribal land rights.
A dense jungle in Mizoram, where a missing politician’s body is found buried, his murder linked to cross-border tensions.
The streets of Kolkata, where a political leader’s bullet-riddled body lies in a pool of blood after a brutal assassination by masked gunmen.
A charred bus in Sandeshkhali, set ablaze by an angry mob during a violent political clash between rival party supporters.
A prison cell in Alipore, where a journalist is found hanging under mysterious circumstances after exposing police brutality.
The Howrah railway station, where a man is hacked to death by a mob for allegedly carrying beef, his body left mutilated on the platform.
A village in Malda, where a Dalit family’s home is torched by upper-caste men as they scream for mercy, their bodies later found in the ruins.
The dark waters of the Hooghly River, where corpses of riot victims float, their faces unrecognizable after communal clashes.
A polling booth in Birbhum, where goons armed with machetes and guns intimidate voters before slitting the throat of an opposition worker.
A classroom in North 24 Parganas, where a college student is bludgeoned to death for posting against a political party on social media.
A police van in Asansol, where a suspect's lifeless body is dragged out after a "third-degree" interrogation that turned fatal.
A temple courtyard in Bankura, where a man is publicly flogged, accused of converting to another religion before his body is dumped outside the village.
A tribal hamlet in Latehar, where an entire family is lynched for allegedly practicing witchcraft, their bodies strung up on trees as a warning.
A marketplace in Ranchi, where a Muslim man is tied to a pole and beaten to death while being forced to chant religious slogans.
The forests of Palamu, where a group of villagers stumble upon a mass grave, victims of a long-forgotten police encounter.
A highway near Jamshedpur, where a journalist investigating mining mafias is run over by a truck, his skull crushed beyond recognition.
A prison yard in Dhanbad, where an undertrial is stabbed repeatedly by fellow inmates in a pre-planned attack.
A dusty road in Hazaribagh, where a Dalit youth is lynched for riding a motorcycle through an upper-caste neighborhood.
The coal mines of Bokaro, where laborers are shot point-blank by hired assassins for demanding better wages.
A school in Dumka, where a teenage girl is burned alive by her stalker after rejecting his advances.
The outskirts of Giridih, where an activist fighting against land grabs is found dead, his tongue cut out as a warning to others.
A police checkpoint in Chaibasa, where officers openly execute tribal villagers under the guise of a Maoist encounter.
A railway track in Bhubaneswar, where a politician’s severed body parts are scattered, the result of a cold-blooded assassination.
A temple festival in Puri, where a Dalit devotee is publicly beheaded for daring to enter a restricted shrine.
A fishing village in Ganjam, where a mob drags a man through the streets before setting him on fire over suspicions of cow slaughter.
A courtroom in Cuttack, where a judge is shot dead by contract killers for ruling against a corrupt industrialist.
A Maoist camp in Malkangiri, where hostages tremble as masked rebels execute police informants one by one.
The Kandhamal forests, where communal riots leave villages in flames, with bodies of innocent women and children lying in the debris.
A tea stall in Rourkela, where a labor organizer is stabbed in broad daylight for exposing factory exploitations.
A bus stand in Balasore, where a Hindu-Muslim couple is attacked by a frenzied mob wielding rods and acid.
A village square in Sambalpur, where an accused witch is stripped, paraded, and lynched by her own neighbors.
A police station in Rayagada, where officers take turns torturing a suspect before dumping his lifeless body into the river.
A dusty street in Patna, where a politician's convoy is ambushed, and he is riddled with bullets in a well-planned execution.
The banks of the Ganga in Bhagalpur, where bodies of massacre victims wash ashore, their limbs hacked off with machetes.
A jail in Muzaffarpur, where an incarcerated mafia don orders a mass killing of his rivals from behind bars.
A landlord’s estate in Arrah, where bonded laborers are burnt alive inside a barn as punishment for demanding wages.
The fields of Gaya, where caste militia gun down an entire Dalit family in a revenge massacre.
A hospital in Motihari, where a rape survivor is poisoned to death before she can testify against a local politician.
A court complex in Nalanda, where a witness in a high-profile murder case is shot dead just before his hearing.
A railway station in Darbhanga, where a teenage girl is abducted, raped, and thrown onto the tracks.
A crowded marketplace in Purnia, where a man is lynched by cow vigilantes, his corpse left hanging from a tree.
The rooftops of Siwan, where an investigative journalist is gunned down while exposing a political leader’s crimes.
A monastery in Arunachal Pradesh, where a monk is found decapitated, his murder linked to land disputes with local businessmen.
A tribal village in Nagaland, where police open fire on unarmed protesters, leaving a trail of bodies on the ground.
A remote district in Manipur, where a woman’s charred corpse is found after a night of ethnic violence.
A church in Meghalaya, where a priest is brutally stabbed after being accused of religious conversions.
A tea plantation in Assam, where laborers are hacked to death for revolting against an exploitative owner.
The Brahmaputra River, where riot victims’ bodies are dumped, drifting lifelessly past silent villages.
A town square in Tripura, where a political rally turns into a bloodbath, with severed limbs scattered across the pavement.
A detention camp in Assam, where a frail old man collapses and dies after being wrongfully accused of being an illegal immigrant.
A journalist’s home in Mizoram, ransacked and burned down for covering a corruption scandal.
A protest site in Sikkim, where police unleash gunfire on demonstrators fighting against illegal deforestation.
A village in Nagaland set ablaze in the dead of night. Families scream as flames consume their homes. By morning, only charred corpses remain.
Inside a Dimapur police station, a mob storms in, dragging a prisoner outside. They beat him with rods, strip him naked, and set him on fire while hundreds watch.
In a remote Nagaland jungle, a mutilated body hangs from a tree—his severed hands tied around his own neck. A brutal warning from insurgents.
In a Nagaland town, a jeep carrying traders is stopped by masked gunmen. The driver is shot point-blank. His passengers try to flee, but bullets cut them down one by one.
On a highway in Meghalaya, a bus is stopped at gunpoint. Passengers are forced out, their bodies later found riddled with bullets, scattered along the roadside.
A politician’s home in Shillong is surrounded by an armed mob. Windows shatter, gunfire erupts, and minutes later, his lifeless body is dragged through the bloodstained streets.
A journalist in Meghalaya disappears after exposing illegal coal mining. His body resurfaces days later, dumped in a river, hands bound, throat slit.
A market in Meghalaya, where a tribal clash turns into a massacre. Machetes swing, blood splatters on walls, and within minutes, bodies pile up.
A lone activist in Meghalaya speaks against land grabs. Weeks later, his bullet-riddled body is found in his car, abandoned on a forest road.
A bus traveling through Mizoram is forced to stop at a checkpoint. Gunmen separate passengers by ethnicity. A round of gunfire, then silence. The road ahead is painted red.
In a Mizo village, an entire family is locked inside their house before it is set on fire. By morning, only ashes and bone fragments remain.
A journalist in Aizawl receives death threats. Days later, his body is found strangled in his home, his final article on corruption left unfinished on his desk.
A rebel hideout in Mizoram is raided at midnight. The next morning, 12 bodies are found, bound and executed, dumped in a ditch.
A young woman in Mizoram is attacked with acid for refusing a marriage proposal. Her melted face becomes a grim reminder of unchecked violence.
A religious procession in Tripura turns into a bloodbath as a bomb detonates in the middle of the crowd. Smoke rises, screams fill the air, and severed limbs lie scattered on the ground.
A Tripura politician is assassinated in broad daylight, his car riddled with bullets, his driver’s lifeless body slumped over the wheel.
In a Tripura village, gunmen storm a house at midnight, executing every male inside. Women and children are left alive, forced to watch.
A bus carrying refugees in Tripura is hijacked. The next day, it is found in a ravine, burned, with every passenger inside reduced to ash.
A tribal elder in Tripura is beheaded in public, his severed head displayed on a pike as a warning.
A convoy carrying security forces in Arunachal Pradesh is ambushed. Explosions rock the valley, and within minutes, the wreckage is littered with lifeless bodies.
A journalist in Arunachal Pradesh investigating political corruption vanishes. Weeks later, his body is discovered in a shallow grave, his fingers broken, his mouth sewn shut.
A protest in Itanagar is met with gunfire. Unarmed demonstrators fall one after another as bullets tear through the crowd.
A businessman in Arunachal Pradesh is abducted. Days later, his body is found hanging from a bridge, his limbs missing.
A truck full of laborers in Arunachal Pradesh is stopped on a deserted road. The driver is shot, the workers dragged into the jungle. None are ever seen again.
